date,sump,trt,flow_ft3,NO3Nppm
3/29/2010,44,S2,126,4.28
3/29/2010,35,CC,0,
3/29/2010,45,C2,2,
3/29/2010,36,CCW,41,7.57
3/29/2010,46,P,63,0.39
4/1/2010,11,S2,11.62,
4/1/2010,21,CC,1.73,
4/1/2010,12,CC,1,8.78
4/1/2010,22,C2,32,
4/1/2010,13,P,3,
4/1/2010,23,PF,10,
4/1/2010,14,CCW,0,
4/1/2010,24,P,0,
4/1/2010,15,PF,0,
4/1/2010,25,CCW,59,3.05
4/1/2010,16,C2,0,
4/1/2010,26,S2,0,
4/1/2010,31,P,0,
4/1/2010,41,PF,0,
4/1/2010,32,PF,0,
4/1/2010,42,CCW,1,
4/1/2010,33,S2,24,8.19
4/1/2010,43,CC,0,
4/1/2010,34,C2,2,
4/1/2010,44,S2,55,3.79
4/1/2010,35,CC,0,
4/1/2010,45,C2,0,
4/1/2010,36,CCW,28,8.31
4/1/2010,46,P,18,0.3
4/5/2010,11,S2,1.29,
4/5/2010,21,CC,0,
4/5/2010,12,CC,0,
4/5/2010,22,C2,10,8.59
4/5/2010,13,P,0,
4/5/2010,23,PF,1,
4/5/2010,14,CCW,0,
4/5/2010,24,P,0,
4/5/2010,15,PF,0,
4/5/2010,25,CCW,45,2.08
4/5/2010,16,C2,0,
4/5/2010,26,S2,0,
4/5/2010,31,P,0,
4/5/2010,41,PF,0,
4/5/2010,32,PF,0,
4/5/2010,42,CCW,0,
4/5/2010,33,S2,5,
4/5/2010,43,CC,0,
4/5/2010,34,C2,0,
4/5/2010,44,S2,36,3.31
4/5/2010,35,CC,0,
4/5/2010,45,C2,0,
4/5/2010,36,CCW,5,8.75
4/5/2010,46,P,5,
4/7/2010,11,S2,441.37,8.83
4/7/2010,21,CC,300.12,8.92
4/7/2010,12,CC,347.5,8.56
4/7/2010,22,C2,222.02,10.93
4/7/2010,13,P,226.63,0.51
4/7/2010,23,PF,227.78,2.98
4/7/2010,14,CCW,148,8.54
4/7/2010,24,P,242,0.11
4/7/2010,15,PF,351,1.09
4/7/2010,25,CCW,420,5.96
4/7/2010,16,C2,268,6.99
4/7/2010,26,S2,370,5.94
4/7/2010,31,P,382,0.34
4/7/2010,41,PF,320,2.08
4/7/2010,32,PF,268,2.22
4/7/2010,42,CCW,239,6.56
4/7/2010,33,S2,154,8.61
4/7/2010,43,CC,156,5.96
4/7/2010,34,C2,181,9.41
4/7/2010,44,S2,362,6.3
4/7/2010,35,CC,243,10.53
4/7/2010,45,C2,177,5.7
4/7/2010,36,CCW,124,9.5
4/7/2010,46,P,115,0.25
4/12/2010,11,S2,399.63,
4/12/2010,21,CC,368.33,8.11
